x1: 0 ,x2: 0, x3: 0, x4: 0, x5: 0, x6: 0, x7: 0, x8: 0
y1: 0 ,y2: 0, y3: 0, y4: 0, y5: 0, y6: 0, y7: 0, y8: 1

x1: 0 ,x2: 0, x3: 0, x4: 0, x5: 0, x6: 0, x7: 0, x8: 1
y1: 0 ,y2: 0, y3: 0, y4: 1, y5: 0, y6: 1, y7: 1, y8: 0

x1: 0 ,x2: 0, x3: 0, x4: 0, x5: 0, x6: 0, x7: 1, x8: 1
y1: 0 ,y2: 0, y3: 1, y4: 1, y5: 0, y6: 1, y7: 0, y8: 0

x1: 0 ,x2: 0, x3: 0, x4: 0, x5: 0, x6: 1, x7: 1, x8: 1
y1: 0 ,y2: 1, y3: 0, y4: 0, y5: 1, y6: 0, y7: 1, y8: 1

x1: 0 ,x2: 0, x3: 0, x4: 0, x5: 0, x6: 1, x7: 1, x8: 1
y1: 0 ,y2: 1, y3: 0, y4: 0, y5: 1, y6: 0, y7: 1, y8: 1

x1: 0 ,x2: 0, x3: 0, x4: 1, x5: 1, x6: 1, x7: 1, x8: 1
y1: 0 ,y2: 1, y3: 1, y4: 1, y5: 0, y6: 0, y7: 0, y8: 0

x1: 0 ,x2: 0, x3: 0, x4: 1, x5: 1, x6: 1, x7: 1, x8: 1
y1: 0 ,y2: 1, y3: 1, y4: 1, y5: 0, y6: 0, y7: 0, y8: 0

x1: 0 ,x2: 0, x3: 0, x4: 1, x5: 1, x6: 1, x7: 1, x8: 1
y1: 0 ,y2: 1, y3: 1, y4: 1, y5: 0, y6: 0, y7: 0, y8: 0

x1: 0 ,x2: 0, x3: 0, x4: 1, x5: 1, x6: 1, x7: 1, x8: 1
y1: 0 ,y2: 1, y3: 1, y4: 1, y5: 0, y6: 0, y7: 0, y8: 0
